2020-12-20 12:18:54,631 : Key.esc
2020-12-20 12:18:58,557 : 'x'
2020-12-20 12:18:59,147 : 'i'
2020-12-20 12:18:59,597 : 'n'
2020-12-20 12:18:59,870 : Key.space
2020-12-20 12:19:00,218 : 'c'
2020-12-20 12:19:00,428 : 'h'
2020-12-20 12:19:00,605 : 'a'
2020-12-20 12:19:00,694 : 'o'
2020-12-20 12:19:01,124 : Key.space
2020-12-20 12:19:01,582 : 'b'
2020-12-20 12:19:01,689 : 'a'
2020-12-20 12:19:01,819 : 'n'
2020-12-20 12:19:02,044 : Key.space
2020-12-20 12:19:02,952 : Key.enter
2020-12-20 12:19:09,851 : 'l'
2020-12-20 12:19:09,959 : 's'
2020-12-20 12:19:10,148 : Key.enter
2020-12-20 12:19:11,803 : 'n'
2020-12-20 12:19:12,027 : 'a'
2020-12-20 12:19:13,058 : 'n'
2020-12-20 12:19:13,313 : 'o'
2020-12-20 12:19:13,665 : Key.space
2020-12-20 12:19:14,349 : 'm'
2020-12-20 12:19:14,653 : 'y'
2020-12-20 12:19:15,700 : Key.tab
2020-12-20 12:19:16,357 : Key.enter
2020-12-20 12:19:18,238 : Key.down
2020-12-20 12:19:18,542 : Key.down
2020-12-20 12:19:19,042 : Key.down
2020-12-20 12:19:19,073 : Key.down
2020-12-20 12:19:19,105 : Key.down
2020-12-20 12:19:19,136 : Key.down
2020-12-20 12:19:19,166 : Key.down
2020-12-20 12:19:19,196 : Key.down
2020-12-20 12:19:19,227 : Key.down
2020-12-20 12:19:19,258 : Key.down
2020-12-20 12:19:19,290 : Key.down
2020-12-20 12:19:19,666 : Key.up
2020-12-20 12:19:20,167 : Key.up
2020-12-20 12:19:20,197 : Key.up
2020-12-20 12:19:20,227 : Key.up
2020-12-20 12:19:20,258 : Key.up
2020-12-20 12:19:20,290 : Key.up
2020-12-20 12:19:20,320 : Key.up
2020-12-20 12:19:20,351 : Key.up
2020-12-20 12:19:20,382 : Key.up
2020-12-20 12:19:20,413 : Key.up
2020-12-20 12:19:20,443 : Key.up
2020-12-20 12:19:20,856 : Key.up
2020-12-20 12:19:21,311 : Key.down
2020-12-20 12:19:21,581 : Key.down
2020-12-20 12:19:22,081 : Key.down
2020-12-20 12:19:22,112 : Key.down
2020-12-20 12:19:22,143 : Key.down
2020-12-20 12:19:22,175 : Key.down
2020-12-20 12:19:22,205 : Key.down
2020-12-20 12:19:22,235 : Key.down
2020-12-20 12:19:22,266 : Key.down
2020-12-20 12:19:22,296 : Key.down
2020-12-20 12:19:22,326 : Key.down
2020-12-20 12:19:22,357 : Key.down
2020-12-20 12:19:22,387 : Key.down
2020-12-20 12:19:22,419 : Key.down
2020-12-20 12:19:22,449 : Key.down
2020-12-20 12:19:22,480 : Key.down
2020-12-20 12:19:22,512 : Key.down
2020-12-20 12:19:22,542 : Key.down
2020-12-20 12:19:22,574 : Key.down
2020-12-20 12:19:22,605 : Key.down
2020-12-20 12:19:22,636 : Key.down
2020-12-20 12:19:22,666 : Key.down
2020-12-20 12:19:22,697 : Key.down
2020-12-20 12:19:23,102 : Key.down
2020-12-20 12:19:23,417 : Key.down
2020-12-20 12:19:23,662 : Key.down
2020-12-20 12:19:23,817 : Key.down
2020-12-20 12:19:25,073 : Key.down
2020-12-20 12:19:26,745 : Key.up
2020-12-20 12:19:27,245 : Key.up
2020-12-20 12:19:27,276 : Key.up
2020-12-20 12:19:27,308 : Key.up
2020-12-20 12:19:27,339 : Key.up
2020-12-20 12:19:27,370 : Key.up
2020-12-20 12:19:27,401 : Key.up
2020-12-20 12:19:27,431 : Key.up
2020-12-20 12:19:27,461 : Key.up
2020-12-20 12:19:27,491 : Key.up
2020-12-20 12:19:27,522 : Key.up
2020-12-20 12:19:27,552 : Key.up
2020-12-20 12:19:27,583 : Key.up
2020-12-20 12:19:27,613 : Key.up
2020-12-20 12:19:27,644 : Key.up
2020-12-20 12:19:27,677 : Key.up
2020-12-20 12:19:27,708 : Key.up
2020-12-20 12:19:27,739 : Key.up
2020-12-20 12:19:27,770 : Key.up
2020-12-20 12:19:27,801 : Key.up
2020-12-20 12:19:27,831 : Key.up
2020-12-20 12:19:27,863 : Key.up
2020-12-20 12:19:27,895 : Key.up
2020-12-20 12:19:27,928 : Key.up
2020-12-20 12:19:27,959 : Key.up
2020-12-20 12:19:27,992 : Key.up
2020-12-20 12:19:28,023 : Key.up
2020-12-20 12:19:28,053 : Key.up
2020-12-20 12:19:28,084 : Key.up
2020-12-20 12:19:28,115 : Key.up
2020-12-20 12:19:28,146 : Key.up
2020-12-20 12:19:28,177 : Key.up
2020-12-20 12:19:28,209 : Key.up
2020-12-20 12:19:28,240 : Key.up
2020-12-20 12:19:28,271 : Key.up
2020-12-20 12:19:28,301 : Key.up
2020-12-20 12:19:28,673 : Key.down
2020-12-20 12:19:29,174 : Key.down
2020-12-20 12:19:29,205 : Key.down
2020-12-20 12:19:29,236 : Key.down
2020-12-20 12:19:29,267 : Key.down
2020-12-20 12:19:29,298 : Key.down
2020-12-20 12:19:29,328 : Key.down
2020-12-20 12:19:29,359 : Key.down
2020-12-20 12:19:29,389 : Key.down
2020-12-20 12:19:29,419 : Key.down
2020-12-20 12:19:29,450 : Key.down
2020-12-20 12:19:29,480 : Key.down
2020-12-20 12:19:29,511 : Key.down
2020-12-20 12:19:29,542 : Key.down
2020-12-20 12:19:29,573 : Key.down
2020-12-20 12:19:29,604 : Key.down
2020-12-20 12:19:29,634 : Key.down
2020-12-20 12:19:29,665 : Key.down
2020-12-20 12:19:29,697 : Key.down
2020-12-20 12:19:29,729 : Key.down
2020-12-20 12:19:29,759 : Key.down
2020-12-20 12:19:29,790 : Key.down
2020-12-20 12:19:29,821 : Key.down
2020-12-20 12:19:29,852 : Key.down
2020-12-20 12:19:29,883 : Key.down
2020-12-20 12:19:29,913 : Key.down
2020-12-20 12:19:29,943 : Key.down
2020-12-20 12:19:29,973 : Key.down
2020-12-20 12:19:30,004 : Key.down
2020-12-20 12:19:30,035 : Key.down
